machine,gpu,date_ended,dir,test_acc,test_fscore
m3,0,20220219 16:56:49,c:/IsKnown_Images\Aff_NE_Balanced\Bal_v14\Ind-0,0.8082420642286987,0.47904810362939027
m3,0,20220221 04:32:47,c:/IsKnown_Images\Aff_NE_Balanced\Bal_v14\Ind-0,0.7685167997029887,0.49262340124510845
m3,0,20220222 14:59:08,c:/IsKnown_Images\Aff_NE_Balanced\Bal_v14\Ind-0,0.7668461110079822,0.5021045457894299
m3,0,20220226 00:09:48,c:/IsKnown_Images\Aff_NE_Balanced\Bal_v14\Ind-0,0.803972526452571,0.5134571670837237
m3,0,20220227 23:25:05,c:/IsKnown_Images\Aff_NE_Balanced\Bal_v14\Ind-0,0.8004455169853351,0.49288812084615835
m4,0,20220218 08:38:04,c:/IsKnown_Images\Aff_NE_Balanced\Bal_v14\Ind-0,0.7854093187302766,0.4697086936693912
m4,0,20220220 15:22:29,c:/IsKnown_Images\Aff_NE_Balanced\Bal_v14\Ind-0,0.804158158529794,0.5002410828602625
m4,0,20220222 05:30:21,c:/IsKnown_Images\Aff_NE_Balanced\Bal_v14\Ind-0,0.7675886393168739,0.4890520788647936
m4,0,20220224 21:02:53,c:/IsKnown_Images\Aff_NE_Balanced\Bal_v14\Ind-0,0.8130684982364953,0.48328597846235083
m4,0,20220226 07:54:12,c:/IsKnown_Images\Aff_NE_Balanced\Bal_v14\Ind-0,0.7588639316873956,0.49050857791041286